Q0K793	H16_A3053
Q31KL9	Synpcc7942_2370
Q31QT2	Synpcc7942_0555
Q31K62	Synpcc7942_2527
Q31QK7	Synpcc7942_0630
Q31MI3	Synpcc7942_1706
Q31NP1	Synpcc7942_1298
Q31MF0	Synpcc7942_1739
Q31R49	Synpcc7942_0438
Q31LF1	Synpcc7942_2088
Q31NY5	Synpcc7942_1204
Q31KU4	Synpcc7942_2295
Q31NI3	Synpcc7942_1356
Q31N63	Synpcc7942_1476
Q31RJ4	Synpcc7942_0293
Q31S18	Synpcc7942_0119
Q31RT7	Synpcc7942_0200
Q31NA1	Synpcc7942_1438
Q31NE2	Synpcc7942_1397
Q31R13	Synpcc7942_0474
Q31QU6	Synpcc7942_0541
Q31PL5	Synpcc7942_0974
Q31P92	Synpcc7942_1097
Q31S85	Synpcc7942_0052
Q31PT4	Synpcc7942_0905
Q31RQ4	Synpcc7942_0233
Q31QS0	Synpcc7942_0567
Q31JS8	Synpcc7942_B2660
Q31L93	Synpcc7942_2146
Q31M30	Synpcc7942_1859
Q31RI1	Synpcc7942_0306
Q31PU0	Synpcc7942_0899
Q31KK0	Synpcc7942_2389
Q31K60	Synpcc7942_2529
Q31NL1	Synpcc7942_1328
Q31KA6	Synpcc7942_2483
Q31SB7	Synpcc7942_0020
Q31KC8	Synpcc7942_2461
Q31M20	Synpcc7942_1869
Q31S13	Synpcc7942_0124
Q31NI6	Synpcc7942_1353
Q31N02	Synpcc7942_1537
Q31ML3	Synpcc7942_1676
Q31Q53	Synpcc7942_0784
Q31MD2	Synpcc7942_1757
Q31Q78	Synpcc7942_0759
Q31L70	Synpcc7942_2169
Q31KU7	Synpcc7942_2292
Q31QM3	Synpcc7942_0614
Q31QB4	Synpcc7942_0723
Q31ML6	Synpcc7942_1673
Q31LN4	Synpcc7942_2005
Q31S27	Synpcc7942_0110
Q31KZ3	Synpcc7942_2246
Q31K70	Synpcc7942_2519
Q31NS9	Synpcc7942_1260
Q31ML4	Synpcc7942_1675
Q31M53	Synpcc7942_1836
Q31KN4	Synpcc7942_2355
Q31Q85	Synpcc7942_0752
Q31RQ0	Synpcc7942_0237
Q31PQ6	Synpcc7942_0933
Q31N54	Synpcc7942_1485
Q31K02	Synpcc7942_2587
Q31LI9	Synpcc7942_2050
Q31NH1	Synpcc7942_1368
Q31QT1	Synpcc7942_0556
Q31RW9	Synpcc7942_0168
Q31N37	Synpcc7942_1502
Q31LI6	Synpcc7942_2053
Q31QH0	Synpcc7942_0667
Q31MG4	Synpcc7942_1725
Q31KD3	Synpcc7942_2456
Q31N45	Synpcc7942_1494
Q31L41	Synpcc7942_2198
Q31PZ8	Synpcc7942_0840
Q31NE4	Synpcc7942_1395
Q31RZ1	Synpcc7942_0146
Q31P29	Synpcc7942_1160
Q31LQ4	Synpcc7942_1985
Q31M88	Synpcc7942_1801
Q31QU7	Synpcc7942_0540
Q31KR2	Synpcc7942_2327
Q31S96	Synpcc7942_0041
Q31NQ8	Synpcc7942_1281
Q31NL5	Synpcc7942_1324
Q31N36	Synpcc7942_1503
Q31R67	Synpcc7942_0420
Q31NR4	Synpcc7942_1275
Q31MN7	Synpcc7942_1652
Q31LT9	Synpcc7942_1950
Q31K43	Synpcc7942_2546
Q31RU4	Synpcc7942_0193
Q31KQ1	Synpcc7942_2338
Q31PD0	Synpcc7942_1059
Q31N80	Synpcc7942_1459
Q31P71	Synpcc7942_1118
Q31Q00	Synpcc7942_0838
Q31ML2	Synpcc7942_1677
Q31NU4	Synpcc7942_1245
Q31KH3	Synpcc7942_2416
Q31QB3	Synpcc7942_0724
Q31N81	Synpcc7942_1458
Q31PB3	Synpcc7942_1076
Q31LQ2	Synpcc7942_1987
Q31Q04	Synpcc7942_0834
Q31PG7	Synpcc7942_1022
Q31LI3	Synpcc7942_2056
Q31K29	Synpcc7942_2560
Q31QZ1	Synpcc7942_0496
Q31P39	Synpcc7942_1150
Q31M06	Synpcc7942_1883
Q31MH3	Synpcc7942_1716
Q31P83	Synpcc7942_1106
Q31N23	Synpcc7942_1516
Q31Q73	Synpcc7942_0764
Q31RU5	Synpcc7942_0192
Q31LM1	Synpcc7942_2018
Q31RA4	Synpcc7942_0383
Q31QB7	Synpcc7942_0720
Q31PF6	Synpcc7942_1033
Q31PA2	Synpcc7942_1087
Q31PE8	Synpcc7942_1041
Q31PV0	Synpcc7942_0889
Q31LS0	Synpcc7942_1969
Q31LV7	Synpcc7942_1932
Q31KY6	Synpcc7942_2253
Q31RT8	Synpcc7942_0199
Q31N03	Synpcc7942_1536
Q31RQ9	Synpcc7942_0228
Q31NA2	Synpcc7942_1437
Q31KK2	Synpcc7942_2387
Q31NU1	Synpcc7942_1248
Q31RL8	Synpcc7942_0269
Q31ME4	Synpcc7942_1745
Q31S58	Synpcc7942_0079
Q31MB1	Synpcc7942_1778
Q31L63	Synpcc7942_2176
Q31NR0	Synpcc7942_1279
Q31R65	Synpcc7942_0422
Q31M74	Synpcc7942_1815
Q31PB4	Synpcc7942_1075
Q31QP6	Synpcc7942_0591
Q31KK6	Synpcc7942_2383
Q31M17	Synpcc7942_1872
Q31Q32	Synpcc7942_0805
Q31NK4	Synpcc7942_1335
Q31P97	Synpcc7942_1092
Q31RV6	Synpcc7942_0181
Q31PK9	Synpcc7942_0980
Q31Q01	Synpcc7942_0837
Q31KG4	Synpcc7942_2425
Q31LJ5	Synpcc7942_2044
Q31QL0	Synpcc7942_0627
Q31QV6	Synpcc7942_0531
Q31PL7	Synpcc7942_0972
Q31KR9	Synpcc7942_2320
Q31PK7	Synpcc7942_0982
Q31PE3	Synpcc7942_1046
Q31PQ2	Synpcc7942_0937
Q31NK9	Synpcc7942_1330
Q31PF3	Synpcc7942_1036
Q31RY4	Synpcc7942_0153
Q31NH7	Synpcc7942_1362
Q31K50	Synpcc7942_2539
Q31L02	Synpcc7942_2237
Q31MB9	Synpcc7942_1770
Q31S93	Synpcc7942_0044
Q31KK9	Synpcc7942_2380
Q31Q42	Synpcc7942_0795
Q31RL2	Synpcc7942_0275
Q31L72	Synpcc7942_2167
Q31SC9	Synpcc7942_0008
Q31QC9	Synpcc7942_0708
Q31LA4	Synpcc7942_2135
Q31LK8	Synpcc7942_2031
Q31KM1	Synpcc7942_2368
Q31N62	Synpcc7942_1477
Q31R83	Synpcc7942_0404
Q31Q67	Synpcc7942_0770
Q31NS6	Synpcc7942_1263
Q31QX3	Synpcc7942_0514
Q31KR1	Synpcc7942_2328
Q31SB1	Synpcc7942_0026
Q31KC2	Synpcc7942_2467
Q31R39	Synpcc7942_0448
Q31PT5	Synpcc7942_0904
Q31RK9	Synpcc7942_0278
Q31PL2	Synpcc7942_0977
Q31JY4	Synpcc7942_2605
Q31NC2	Synpcc7942_1417
Q31SB2	Synpcc7942_0025
Q31K21	Synpcc7942_2568
Q31QK8	Synpcc7942_0629
Q31M13	Synpcc7942_1876
Q31KG7	Synpcc7942_2422
Q31MJ4	Synpcc7942_1695
Q31NR5	Synpcc7942_1274
Q31QG1	Synpcc7942_0676
Q31N35	Synpcc7942_1504
Q31KP5	Synpcc7942_2344
Q31LA9	Synpcc7942_2130
Q31NH5	Synpcc7942_1364
Q31PB2	Synpcc7942_1077
Q31RD8	Synpcc7942_0349
Q31KN0	Synpcc7942_2359
Q31LN6	Synpcc7942_2003
Q31R64	Synpcc7942_0423
Q31QA1	Synpcc7942_0736
Q31NN2	Synpcc7942_1307
Q31KT2	Synpcc7942_2307
Q31NQ2	Synpcc7942_1287
Q31K40	Synpcc7942_2549
Q31M49	Synpcc7942_1840
Q31NL8	Synpcc7942_1321
Q31M78	Synpcc7942_1811
Q31S94	Synpcc7942_0043
Q31QH1	Synpcc7942_0666
Q31P43	Synpcc7942_1146
Q31S84	Synpcc7942_0053
Q31LR9	Synpcc7942_1970
Q31MC0	Synpcc7942_1769
Q31RH1	Synpcc7942_0316
Q31MJ1	Synpcc7942_1698
Q31MH8	Synpcc7942_1711
Q31MT3	Synpcc7942_1606
Q31QN9	Synpcc7942_0598
Q31KM5	Synpcc7942_2364
Q31LN0	Synpcc7942_2009
Q31S87	Synpcc7942_0050
Q31KY2	Synpcc7942_2257
Q31N56	Synpcc7942_1483
Q31KM2	Synpcc7942_2367
Q31R81	Synpcc7942_0406
Q31Q23	Synpcc7942_0814
Q31NI9	Synpcc7942_1350
Q31LL1	Synpcc7942_2028
Q31SC3	Synpcc7942_0014
Q31NW1	Synpcc7942_1228
Q31QZ7	Synpcc7942_0490
Q31NN7	Synpcc7942_1302
Q31L46	Synpcc7942_2193
Q31RR4	Synpcc7942_0223
Q31MQ8	Synpcc7942_1631
Q31LK6	Synpcc7942_2033
Q31LF4	Synpcc7942_2085
Q31QG9	Synpcc7942_0668
Q31RI3	Synpcc7942_0304
Q31PT1	Synpcc7942_0908
Q31RR8	Synpcc7942_0219
Q31LZ4	Synpcc7942_1895
Q31QH5	Synpcc7942_0662
Q31MC8	Synpcc7942_1761
Q31MZ6	Synpcc7942_1543
Q31N33	Synpcc7942_1506
Q31NV5	Synpcc7942_1234
Q31MD3	Synpcc7942_1756
Q31K57	Synpcc7942_2532
Q31L60	Synpcc7942_2179
Q31M80	Synpcc7942_1809
Q31M85	Synpcc7942_1804
Q31QZ2	Synpcc7942_0495
Q31L87	Synpcc7942_2152
Q31PS9	Synpcc7942_0910
Q31KM6	Synpcc7942_2363
Q31PN3	Synpcc7942_0956
Q31KJ7	Synpcc7942_2392
Q31S60	Synpcc7942_0077
Q31Q87	Synpcc7942_0750
Q31SD5	Synpcc7942_0002
Q31Q08	Synpcc7942_0829
Q31NC1	Synpcc7942_1418
Q31PU8	Synpcc7942_0891
Q31QF0	Synpcc7942_0687
Q31RG9	Synpcc7942_0318
Q31Q44	Synpcc7942_0793
Q31QR3	Synpcc7942_0574
Q31JZ8	Synpcc7942_2591
Q31MQ7	Synpcc7942_1632
Q31MX2	Synpcc7942_1567
Q31MC5	Synpcc7942_1764
Q31Q21	Synpcc7942_0816
Q31S08	Synpcc7942_0129
Q31NK3	Synpcc7942_1336
Q31L47	Synpcc7942_2192
Q31KH5	Synpcc7942_2414
Q31MP5	Synpcc7942_1644
Q31S66	Synpcc7942_0071
Q31M21	Synpcc7942_1868
Q31PQ3	Synpcc7942_0936
Q31K45	Synpcc7942_2544
Q31LG1	Synpcc7942_2078
Q31R84	Synpcc7942_0403
Q31M72	Synpcc7942_1817
Q31PC7	Synpcc7942_1062
Q31PW9	Synpcc7942_0870
Q31PX9	Synpcc7942_0860
Q31MP8	Synpcc7942_1641
Q31PG5	Synpcc7942_1024
Q31QW5	Synpcc7942_0522
Q31PT3	Synpcc7942_0906
Q31LK1	Synpcc7942_2038
Q31LR4	Synpcc7942_1975
Q31M09	Synpcc7942_1880
Q31QW0	Synpcc7942_0527
Q31PM3	Synpcc7942_0966
Q31PS2	Synpcc7942_0917
Q31LR7	Synpcc7942_1972
Q31MT8	Synpcc7942_1601
Q31MX7	Synpcc7942_1562
Q31RA5	Synpcc7942_0382
Q31R56	Synpcc7942_0431
Q31Q69	Synpcc7942_0768
Q31S86	Synpcc7942_0051
Q31MW7	Synpcc7942_1572
Q31KZ9	Synpcc7942_2240
Q31RE8	Synpcc7942_0339
Q31QJ1	Synpcc7942_0646
Q31Q38	Synpcc7942_0799
Q31ME1	Synpcc7942_1748
Q31Q50	Synpcc7942_0787
Q31KK7	Synpcc7942_2382
Q31S77	Synpcc7942_0060
Q31PC8	Synpcc7942_1061
Q31KM3	Synpcc7942_2366
Q31JZ4	Synpcc7942_2595
Q31M95	Synpcc7942_1794
Q31R06	Synpcc7942_0481
Q31LY0	Synpcc7942_1909
Q31LB5	Synpcc7942_2124
Q31PC6	Synpcc7942_1063
Q31PX7	Synpcc7942_0862
Q31RA8	Synpcc7942_0379
Q31LI5	Synpcc7942_2054
Q31P30	Synpcc7942_1159
Q31QI0	Synpcc7942_0657
Q31Q47	Synpcc7942_0790
Q31M63	Synpcc7942_1826
Q31P82	Synpcc7942_1107
Q31KX0	Synpcc7942_2269
Q31KX5	Synpcc7942_2264
Q31QS6	Synpcc7942_0561
Q31KV7	Synpcc7942_2282
Q31N76	Synpcc7942_1463
Q31PS8	Synpcc7942_0911
Q31P31	Synpcc7942_1158
Q31LF0	Synpcc7942_2089
Q31LU3	Synpcc7942_1946
Q31PY8	Synpcc7942_0850
Q31PX1	Synpcc7942_0868
Q31M62	Synpcc7942_1827
Q31M16	Synpcc7942_1873
Q31NJ8	Synpcc7942_1341
Q31LM2	Synpcc7942_2017
Q31L00	Synpcc7942_2239
Q31Q40	Synpcc7942_0797
Q31LL2	Synpcc7942_2027
Q31NL9	Synpcc7942_1320
Q31RE3	Synpcc7942_0344
Q31KN9	Synpcc7942_2350
Q31KJ4	Synpcc7942_2395
Q31L43	Synpcc7942_2196
Q31KV2	Synpcc7942_2287
Q31N44	Synpcc7942_1495
Q31RZ3	Synpcc7942_0144
Q31S45	Synpcc7942_0092
Q31RR7	Synpcc7942_0220
Q31QA5	Synpcc7942_0732
Q31PW4	Synpcc7942_0875
Q31Q72	Synpcc7942_0765
Q31R99	Synpcc7942_0388
Q31NI1	Synpcc7942_1358
Q31P22	Synpcc7942_1167
Q31LU2	Synpcc7942_1947
Q31ML5	Synpcc7942_1674
Q31S99	Synpcc7942_0038
Q31PJ0	Synpcc7942_0999
Q31MQ6	Synpcc7942_1633
Q31NE3	Synpcc7942_1396
Q31S78	Synpcc7942_0059
Q31NR7	Synpcc7942_1272
Q31KW3	Synpcc7942_2276
Q31NI4	Synpcc7942_1355
Q31KL7	Synpcc7942_2372
Q31Q11	Synpcc7942_0826
Q31RS4	Synpcc7942_0213
Q31RY0	Synpcc7942_0157
Q31KR4	Synpcc7942_2325
Q935Y1	Synpcc7942_2511
Q31PR8	Synpcc7942_0921
Q31PZ4	Synpcc7942_0844
Q31KV5	Synpcc7942_2284
Q31KH7	Synpcc7942_2412
Q31P80	Synpcc7942_1109
Q31JY0	Synpcc7942_2609
Q8GJN7	Synpcc7942_1845
Q9ALA6	Synpcc7942_1979
O33700	Synpcc7942_2578
Q31LZ8	Synpcc7942_1891
Q8VPV2	Synpcc7942_0307
Q8GJM7	Synpcc7942_1835
Q935X2	Synpcc7942_2501
Q8GMQ2	Synpcc7942_0425
Q31KD0	Synpcc7942_2459
Q8KUV7	Synpcc7942_B2643
Q6VYY4	Synpcc7942_0546
Q54772	Synpcc7942_1951
Q8GMQ5	Synpcc7942_0433
Q8KPT7	Synpcc7942_1587
Q8KPU3	Synpcc7942_1581
Q93AK0	Synpcc7942_1943
Q8KPS3	Synpcc7942_1206
Q8GJM6	Synpcc7942_1834
Q8KUW5	Synpcc7942_B2636
Q8VPV9	Synpcc7942_2091
Q9R6V3	Synpcc7942_B2627
Q8GMQ9	Synpcc7942_0437
Q8KPQ5	Synpcc7942_1188
Q7BW13	Synpcc7942_2106
Q8KPS7	Synpcc7942_1223
Q8GAA4	Synpcc7942_0444
Q8GMR8	Synpcc7942_0450
Q8KUU7	Synpcc7942_B2648
Q8KPS6	Synpcc7942_1209
Q79AV0	Synpcc7942_0446
Q8VPU9	Synpcc7942_0609
Q8GMQ8	Synpcc7942_0436
Q79PF9	Synpcc7942_1221
Q79PF1	Synpcc7942_1213
Q79PE8	Synpcc7942_1210
Q8GJK4	Synpcc7942_1812
Q8GIS8	Synpcc7942_2482
P95823	Synpcc7942_2343
Q935W9	Synpcc7942_2495
P72559	Synpcc7942_B2645
Q8GIT0	Synpcc7942_2484
Q8GIS6	Synpcc7942_2480
Q8GIT1	Synpcc7942_2485
Q8KUU5	Synpcc7942_B2661
Q8GIS7	Synpcc7942_2481
O05347	Synpcc7942_2105
Q8GMS3	Synpcc7942_0457
Q8KUU4	Synpcc7942_B2616
Q9Z3G5	Synpcc7942_1823
Q8GIS0	Synpcc7942_2474
Q9R6U1	Synpcc7942_0579
Q55283	Synpcc7942_1241
Q8GIS4	Synpcc7942_2478
Q31P46	Synpcc7942_1143
Q935Y0	Synpcc7942_2510
Q8KUT3	Synpcc7942_B2655
Q8L1E4	Synpcc7942_2394
Q79PG0	Synpcc7942_1571
Q8GMS7	Synpcc7942_0461
Q79PF3	Synpcc7942_1215
Q54763	Synpcc7942_2562
Q8VPV6	Synpcc7942_2094
Q935X4	Synpcc7942_2503
Q8KPT8	Synpcc7942_1586
Q07948	Synpcc7942_2008
Q79PF0	Synpcc7942_1212
Q8KPV1	Synpcc7942_1575
Q8KUV9	Synpcc7942_B2640
Q8GJL9	Synpcc7942_1828
Q9KHA8	Synpcc7942_1607
Q54767	Synpcc7942_1596
Q8GJM5	Synpcc7942_1833
Q8KUU3	Synpcc7942_B2617
Q79PG5	Synpcc7942_1590
Q9R6V4	Synpcc7942_B2625
Q8GJN4	Synpcc7942_1842
Q54705	Synpcc7942_2499
Q8GMT3	Synpcc7942_0467
Q8VPV3	Synpcc7942_0308
P72549	Synpcc7942_2341
Q8KUX0	Synpcc7942_B2657
Q7X386	Synpcc7942_2061
Q8GMS6	Synpcc7942_0460
Q8GAA2	Synpcc7942_0432
Q7X4K8	Synpcc7942_2309
Q8GIT7	Synpcc7942_2491
Q8KPV0	Synpcc7942_1576
Q71MI7	Synpcc7942_B2659
Q6BBK3	Synpcc7942_0361
Q54704	Synpcc7942_2498
Q9WWQ0	Synpcc7942_1168
Q8GJL3	Synpcc7942_1821
Q8RQ68	Synpcc7942_0924
P72557	Synpcc7942_B2644
Q9KHI5	Synpcc7942_0644
Q8KUV1	Synpcc7942_B2653
Q8VPV7	Synpcc7942_2093
Q54732	Synpcc7942_0083
Q8GIS3	Synpcc7942_2477
Q8GMR3	Synpcc7942_0441
Q79PF2	Synpcc7942_1214
Q8VPV4	Synpcc7942_0309
P72547	Synpcc7942_0357
O68523	Synpcc7942_2305
Q8GJL0	Synpcc7942_1819
Q935X0	Synpcc7942_2496
Q8GMT4	Synpcc7942_0468
Q8VPU8	Synpcc7942_0610
Q54774	Synpcc7942_1953
Q9ALA7	Synpcc7942_1978
Q8KUW2	Synpcc7942_B2638
Q9Z3G6	Synpcc7942_1858
Q79PE9	Synpcc7942_1211
Q8GMR9	Synpcc7942_0451
Q54771	Synpcc7942_1949
Q935X6	Synpcc7942_2505
Q8GMR4	Synpcc7942_0443
Q8KUW7	Synpcc7942_B2635
O33699	Synpcc7942_1592
Q8KUX3	Synpcc7942_B2656
Q99QJ5	Synpcc7942_1980
Q8KUX4	Synpcc7942_B2633
Q9R6V1	Synpcc7942_B2629
Q54734	Synpcc7942_0578
O50208	Synpcc7942_2159
O68867	Synpcc7942_0197
Q8GIU0	Synpcc7942_2493
Q54755	Synpcc7942_1379
Q57311	Synpcc7942_1429
Q9R6V2	Synpcc7942_B2628
O85785	Synpcc7942_2378
Q31JT7	Synpcc7942_B2641
Q79N42	Synpcc7942_1813
Q8GLI4	Synpcc7942_0624
Q8KUU8	Synpcc7942_B2637
Q8GIT2	Synpcc7942_2486
Q8GMR5	Synpcc7942_0447
Q8KPP5	Synpcc7942_1179
Q8GIU1	Synpcc7942_2494
Q9R6V6	Synpcc7942_B2623
O50209	Synpcc7942_2158
Q935X8	Synpcc7942_2508
Q8KUU6	Synpcc7942_B2654
Q9R6V5	Synpcc7942_B2624
Q54756	Synpcc7942_1380
Q8GIR9	Synpcc7942_2473
Q9Z3G2	Synpcc7942_1478
Q935Z1	Synpcc7942_2521
Q8KUU1	Synpcc7942_B2619
P72560	Synpcc7942_B2646
Q54777	Synpcc7942_1957
Q8KUV5	Synpcc7942_B2650
Q8GMQ6	Synpcc7942_0434
Q8KUU9	Synpcc7942_B2626
Q54731	Synpcc7942_0084
Q8KPS4	Synpcc7942_1207
Q31JV0	Synpcc7942_B2652
Q8KUW1	Synpcc7942_B2639
Q8KPQ2	Synpcc7942_1185
P72562	Synpcc7942_B2649
Q8KUV6	Synpcc7942_B2647
Q8KPR2	Synpcc7942_1196
Q8KUU2	Synpcc7942_B2618
Q8GA98	Synpcc7942_0428
Q8VW88	Synpcc7942_1443
Q54761	Synpcc7942_2564
Q8GMQ3	Synpcc7942_0426
Q8KPQ0	Synpcc7942_1184
Q55019	Synpcc7942_1997
Q9F1R3	Synpcc7942_1309
Q54773	Synpcc7942_1952
Q9R6V0	Synpcc7942_B2630
Q8KPU8	Synpcc7942_1578
Q8GAA5	Synpcc7942_0445
Q8GMQ4	Synpcc7942_0427
Q8KUT5	Synpcc7942_B2631
Q8KPV3	Synpcc7942_1573
Q9R6W2	Synpcc7942_1742
Q8KUV0	Synpcc7942_B2615
Q9WWL7	Synpcc7942_1939
Q54762	Synpcc7942_2563
Q55389	sll0554
Q55354	smr0007
P74102	slr1963
P72656	slr1129
Q54735	slr1347
Q55804	slr0083
P77961	slr1756
P74308	slr0942
P16033	sll1867
P16033	slr1311
P32422	ssl0563
P74312	slr0945
Q55168	slr0473
Q55013	sll0258
P73911	sll1987
Q55650	slr0355
P73832	slr2001
Q55721	slr0642
P52231	slr0623
P29107	sll1363
P73722	sll1626
P29255	slr1835
Q55700	slr0228
P74132	sll1876
P74269	sll1564
Q55415	sll0834
P74313	slr0946
Q55835	slr0513
P73538	slr1364
Q01952	slr1986
Q55550	slr0169
Q6ZEC6	ssr7072
Q55428	sll0825
P27179	sll1326
P72870	sll0928
Q55373	slr0905
P73211	slr1705
Q59975	slr0444
P73326	slr1898
Q55451	sll0037
Q55756	sll0370
P73423	slr1538
P24602	sll1341
Q55128	sll0402
P73771	sll1164
P74072	slr1336
P54371	slr0104
P73440	sll1459
P74557	slr1464
P73475	slr1230
Q55740	sll0385
P73623	sll1773
Q55940	sll0792
P73270	sll1077
P74068	sll1263
P73594	slr1409
Q55403	slr0575
P73087	slr2045
P73387	sll1737
P74476	sll1865
P73121	slr1919
Q55574	slr0185
Q55766	slr0194
Q55778	sll0179
Q55385	slr0923
P73068	slr2033
Q9FAB3	sll1574
Q9FAB3	sll1575
P73203	sll1580
P73526	sll1348
P74395	sll0271
P73761	sll0838
P73340	sll1120
P74533	slr1426
P74007	slr1325
Q55850	sll0467
P74374	sll1520
Q55169	slr0474
P74410	ssr0482
P72965	sll0635
Q55621	sll0757
P54206	slr0012
Q55681	slr0020
Q01950	ssr3383
Q55710	slr0633
P73310	sll1806
Q55195	sll0684
P73473	slr1228
P42352	sll1244
P73515	slr1443
P72712	ssr0390
P74368	slr1646
Q55843	slr0520
P72687	slr0742
P73769	sll1165
Q55842	slr0519
P74267	ssr2799
Q55004	smr0011
P74208	sll1443
P72934	sll1018
P74297	slr1697
Q55752	slr0423
P73651	slr1882
P73421	slr1536
P74707	sll1110
P74104	sll1894
P73334	sll1789
P74240	slr1164
P73316	ssl3432
P74266	slr1678
P26522	sll0519
P73090	slr2047
P73689	sll1703
P46445	sll1796
P74423	sll0362
Q55367	slr0899
P74383	sll0422
P73971	sll2001
P26527	slr1329
P74309	slr0943
P54416	slr0542
P72761	sll1028
Q55461	slr0041
Q55121	slr0436
P73881	sll0250
P53383	slr0067
Q55462	slr0043
P73833	slr2002
P72966	sll0634
P74467	slr0165
Q05971	slr2075
Q55510	sll0535
Q59993	sll0534
P73002	sll1501
P72772	slr1777
P73548	slr1369
P52208	sll0329
P74045	slr0812
P73477	slr1232
P72760	sll1029
P72758	sll1031
P73738	slr1747
Q55448	sll0038
P74275	sll1561
P73273	sll1076
P73808	sll1957
P73023	sll1005
P73260	sll1084
P72649	slr1124
Q6ZE62	slr8030
P73458	slr1751
Q55753	sll0374
P73337	sll1124
Q55780	slr0208
P74450	slr0151
Q55627	sll0752
P74162	sll1380
P73670	sll2008
P72814	slr1800
P73394	sll1733
Q55120	slr0435
P72571	ssl0787
P74665	sll1545
P73998	slr2131
Q55941	sll0790
P74541	sll1330
P73461	slr1218
P74428	slr0398
Q55582	slr0364
Q6ZEI8	slr7010
P73952	sll1418
P74171	sll1371
Q55131	slr0049
Q55517	sll0529
Q55465	sll0026
Q55146	sll0064
P74100	slr1962
P72594	sll1206
P72662	sll0712
P74629	sll0736
Q6YRU3	ssl6061
Q55584	slr0369
Q55991	sll0742
P74730	sll0575
P72868	sll0931
P74154	slr1470
Q55868	slr0625
P74433	slr0404
P73027	ssl1922
P74554	sll1365
P73544	sll1270
P73589	sll1314
Q55605	slr0770
P74728	slr0590
P72709	slr0250
P74259	slr1670
P73159	slr1379
Q55426	slr0841
P74042	sll0815
P74451	slr0152
Q55139	sll0067
Q55875	sll0102
Q55818	sll0487
P73902	sll0236
P73272	slr1143
P73732	slr1740
Q55359	sll0178
P72890	slr1612
P74589	sll1496
P72774	sll1683
Q55913	sll0283
Q55443	sll0043
P72766	sll1686
Q55893	sll0092
P74021	sll1224
Q55552	slr0172
Q55183	slr0493
P73567	slr0883
Q6ZEE1	slr7057
P73084	sll1937
P72690	slr0236
P74242	slr1166
Q55847	sll0470
P73786	slr1248
P73980	slr2112
P73192	sll1284
P72914	ssr1766
P74212	slr1530
P74339	slr1624
Q6ZED3	sll7065
P72733	sll1318
P72906	slr1070
P73654	ssl3364
P74344	sll1536
P72618	slr1495
Q55858	slr0617
Q55173	slr0479
P74210	slr1529
P74698	slr0459
P74206	sll1446
P73422	slr1537
Q55374	slr0907
P73044	ssr2962
Q55856	slr0615
P73497	slr1240
P74652	slr1651
P72899	slr1063
P73405	sll1721
P74789	sll0319
P73959	ssr2551
P73268	sll1079
P74470	ssl0242
Q55678	sll0007
Q55862	sll0588
P72915	slr1078
P73119	sll1831
P73104	slr1909
P74610	slr1577
P73896	sll0242
P74779	ssr1558
Q55816	sll0489
P73445	sll1456
Q55528	slr0323
Q55926	slr0319
Q59999	sll0672
P74359	sll1527
Q55949	sll0784
P74746	slr0600
P74314	slr0947
Q6ZE91	sll8001
P73592	slr1406
P73183	ssl2542
P73474	slr1229
P74255	ssr1951
P72728	slr1414
Q55820	sll0485
P74682	sll0446
Q55586	sll0337
P74054	slr0818
P72742	slr1098
P72636	sll1061
Q55457	slr0038
P72877	sll0923
Q55727	slr0645
P73829	slr1998
Q55883	sll0096
P72840	slr1302
P72905	slr1069
Q55474	sll0513
Q55648	sll0314
Q55649	slr0354
P74332	slr0959
P74316	sll0913
P73734	slr1742
P73819	sll1949
P73993	slr2126
P73985	slr2118
P74510	sll1841
Q55876	slr0105
P73420	slr1535
Q6YRU4	sll6060
P73005	slr1041
P72842	sll1189
P74182	slr1270
P73529	sll1280
Q6ZET9	sll5041
Q55773	sll0183
P73918	sll1981
P73156	slr1376
P73433	slr1547
P73519	sll1353
P73990	slr2123
Q55164	slr0467
Q6YRW5	slr6039
Q55177	slr0484
P74183	slr1271
P73562	sll0873
P74203	slr1288
P73944	sll1424
P73650	slr1881
P73982	slr2115
P74049	slr0816
P73342	slr1194
P72710	slr0251
P73250	sll1913
Q55730	slr0650
Q6YS03	slr6001
P74066	sll0802
P73721	slr1735
P73174	sll1293
P74584	slr0667
Q6ZEG4	sll7034
P73479	slr1233
P72932	ssr1789
P73503	slr1437
P73723	sll1625
P74140	sll1870
P73086	slr2044
P72684	slr0740
P73816	slr2062
P73862	sll1594
P73170	sll1297
Q55634	sll0325
P74617	sll1481
P74634	sll0732
P73600	sll1785
P73500	slr1434
P73865	sll1590
P73949	slr1509
Q6ZE52	sll8040
P74298	sll0921
P73701	slr1816
Q55889	slr0114
P74067	ssl1498
P74079	slr1342
Q55691	sll0205
P73049	slr1768
P72937	slr0670
P74454	sll0147
P74558	ssl2667
P72864	sll0934
P74329	slr0957
Q55138	sll0068
P73184	slr1393
Q6YRW2	slr6042
P74315	slr0948
P74527	sll1343
Q55788	slr0073
P74431	slr0401
P73217	sll1570
Q55969	sll0670
P73006	slr1042
P73018	slr1053
P72632	slr1118
P74735	slr0592
P74686	slr0451
P72806	sll1664
P73864	sll1592
P74538	slr1429
P73343	slr1195
Q6ZEX6	sll5004
